Name, Age, Nationality, Shirtnumber, Best foot, Position
Alisson,31,Brazil,1,Right foot,GK
Alexander-Arnold,25,England,66,Right foot,RB
Konaté,24,France,5,Right foot,CB
van Dijk,32,Netherlands,4,Right foot,CB
Robertson,29,Scotland,26,Left foot,LB
Thiago,32,Spain,6,Right foot,CM
Mac Allister,24,Argentina,10,Right foot,CM
Szoboszlai,22,Hungary,8,Right foot,CM
Jones,22,England,17,Right foot,CM
Salah,31,Egypt,11,Left foot,RW
Jota,27,Portugal,20,Right foot,ST
Luis Diaz,26,Colombia,7,Right foot,LW
Nunez,24,Uruguay,9,Right foot,ST
